OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
271,TTB6-8,0.622579575,0.894508362,0.271928787,0.862330601,0.028801541
272,TTB6-9,0.611021638,0.892325997,0.281304359,0.847944901,0.043527053
273,TTB7-1,0.757233083,0.891022384,0.133789301,0.859744111,0.013208327
274,TTB7-2,0.824016273,0.891757011,0.067740738,0.863476672,0.010288967
275,TTB7-3,0.831532121,0.896061838,0.064529717,0.86384767,0.009126832
276,TTB7-4,0.801441789,0.893975854,0.092534065,0.867670343,0.011645736
277,TTB7-5,0.66649425,0.891632795,0.225138545,0.862700836,0.025575588
278,TTB7-6,0.606536865,0.903192818,0.296655953,0.862472981,0.027197664
279,TTB7-7,0.658726096,0.896238327,0.237512231,0.863321167,0.021355485
280,TTB7-8,0.646231949,0.89285785,0.2466259,0.85779267,0.033643363
281,TTB7-9,0.105995722,0.894848168,0.788852446,0.811379058,0.155141596
282,TTB8-1,0.831854045,0.902182341,0.070328295,0.870657555,0.010925321
283,TTB8-2,0.755511343,0.901934028,0.146422684,0.870832943,0.023082015
284,TTB8-3,0.647058845,0.90128839,0.254229546,0.852746493,0.042007407
285,TTB8-4,0.820048094,0.896744609,0.076696515,0.870904164,0.011461611
286,TTB8-5,0.83262223,0.898715973,0.066093743,0.87057153,0.011190327
287,TTB8-6,0.709021032,0.900515556,0.191494524,0.867288897,0.023724753
288,TTB8-7,0.751860499,0.900245786,0.148385286,0.870034924,0.017280681
289,TTB8-8,0.640178442,0.893681943,0.253503501,0.8522123,0.043610627
290,TTB8-9,0.699410796,0.895589948,0.196179152,0.861157012,0.029602561
291,TTA1-2,0.789516628,0.789516628,0,0.789516628,0
292,TTA1-3,0.710814118,0.871050656,0.160236537,0.795384905,0.039158346
293,TTA1-4,0.695792913,0.884512901,0.188719988,0.822824932,0.03232379
294,TTA1-5,0.810833514,0.886940598,0.076107085,0.854645549,0.021588869
295,TTA2-3,0.703219771,0.8854267,0.182206929,0.844547759,0.042794747
296,TTA2-4,0.846871614,0.893486261,0.046614647,0.870127709,0.008773765
297,TTA3-2,0.774468064,0.88841784,0.113949776,0.854398987,0.025542522
298,TTA3-3,0.785796106,0.901597917,0.115801811,0.857568123,0.020999791
299,TTA3-4,0.779050767,0.904999197,0.125948429,0.866101695,0.01827601
300,TTA3-5,0.71063292,0.90415132,0.1935184,0.872446243,0.022072662
301,TTA3-6,0.828036189,0.901705265,0.073669076,0.878863943,0.009755745
302,TTA3-7,0.738347352,0.906418145,0.168070793,0.876543162,0.013846815
303,TTA5-4,0.840430737,0.846612096,0.006181359,0.843521416,0.00309068
304,TTA5-5,0.8271873,0.863715529,0.03652823,0.848813542,0.013006407
305,TTA5-6,0.724051476,0.873091638,0.149040163,0.817436905,0.035284029
306,TTA5-7,0.697434783,0.853281915,0.155847132,0.767448393,0.040925533
307,TTA6-1,0.681085706,0.894852936,0.213767231,0.856566635,0.035095169
308,TTA6-2,0.841117501,0.89416039,0.053042889,0.868302414,0.009567066
309,TTA6-3,0.836932182,0.896009207,0.059077024,0.871430798,0.010031661
310,TTA6-4,0.783389747,0.90604645,0.122656703,0.869171164,0.011633683
311,TTA6-5,0.744411588,0.895359755,0.150948167,0.866198655,0.01370654
312,TTA6-6,0.826081216,0.892956614,0.066875398,0.865693866,0.011365965
313,TTA6-7,0.70178628,0.896799505,0.195013225,0.858660984,0.024202584
314,TTA6-8,0.718774915,0.896901786,0.178126872,0.864853814,0.018740499
315,TTA6-9,0.706995249,0.90361464,0.196619391,0.862893744,0.022442555
316,TTA6-10,0.709084511,0.898568034,0.189483523,0.866605087,0.018566668
317,TTA7-2,0.83917582,0.875770688,0.036594868,0.853844598,0.011403041
318,TTA7-3,0.824824512,0.884543419,0.059718907,0.858483844,0.010440144
319,TTA7-4,0.838178396,0.885224283,0.047045887,0.856076248,0.008626065
320,TTA7-5,0.714860737,0.888499916,0.173639178,0.855840865,0.021309953
321,TTA7-6,0.756878257,0.893524706,0.13664645,0.858195089,0.017828446
322,TTA7-7,0.702704847,0.887259424,0.184554577,0.84987911,0.027776067
323,TTA7-8,0.705982804,0.893675685,0.187692881,0.85805407,0.01811662
324,TTA7-9,0.761380613,0.895224869,0.133844256,0.863395221,0.011563606
325,TTA7-10,0.825712681,0.903884709,0.078172028,0.865950563,0.010389252
