OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
49,TUA3-5,101906.9459,0.833673775,0.888619781,0.054946005,0.863822201,0.010267646
50,TUA3-6,113527.9135,0.826211572,0.885857821,0.059646249,0.86420687,0.012217291
51,TUA3-7,105482.6283,0.827106953,0.887054145,0.059947193,0.868955083,0.008904516
52,TUA3-8,98331.26363,0.845416546,0.89481926,0.049402714,0.86957506,0.010044411
53,TUA3-9,106376.5488,0.830059886,0.888973534,0.058913648,0.869141788,0.009176139
54,TUA3-10,100119.1048,0.843152106,0.89423728,0.051085174,0.86929726,0.009498081
55,TUA3-11,108164.39,0.843856871,0.889128208,0.045271337,0.869763442,0.009699963
56,TUB3-1,30393.29967,0.847751617,0.883423507,0.03567189,0.868118509,0.00928879
57,TUB3-2,44696.02892,0.831901908,0.886057377,0.054155469,0.866542743,0.009614829
58,TUB3-3,58104.8376,0.837722957,0.893202424,0.055479467,0.865858681,0.010906508
59,TUB3-4,63468.36107,0.845068038,0.880919456,0.035851419,0.864422225,0.007599433
60,TUB3-5,67937.96396,0.844169855,0.889523745,0.045353889,0.865534339,0.009554558
61,TUB3-6,65256.20222,0.845106244,0.888041675,0.042935431,0.863671482,0.009999388
62,TUB3-7,42014.26719,0.834973693,0.882156968,0.047183275,0.865478353,0.010112917
63,TUB3-8,81346.77264,0.834345162,0.893298745,0.058953583,0.865237255,0.009915344
64,TUB3-9,60786.59933,0.834152639,0.889756858,0.055604219,0.867187637,0.010559977
65,TUB3-10,78665.0109,0.842132866,0.888943076,0.04681021,0.864178235,0.009361893
66,TUB3-11,67044.04338,0.840231717,0.890612006,0.05038029,0.868817194,0.010127967
67,TUB3-12,67044.04338,0.837134361,0.889328539,0.052194178,0.865928086,0.010840146
68,TDA1-1,785756.1884,0.757469296,0.900244832,0.142775536,0.870343161,0.012002142
69,TDA1-2,102800.8665,0.851050436,0.894595265,0.043544829,0.872518283,0.00865316
70,TDA1-3,98331.26363,0.847358108,0.891935945,0.044577837,0.873244214,0.007865127
71,TDA1-4,94755.58131,0.846055627,0.90131104,0.055255413,0.87474581,0.011208588
72,TDA1-5,120679.2781,0.83812958,0.900502443,0.062372863,0.870463276,0.014814874
73,TDA1-6,101013.0254,0.846501112,0.90187341,0.055372298,0.872614938,0.010843653
74,TDA1-7,106376.5488,0.835915506,0.892679691,0.056764185,0.870247896,0.011291493
75,TDA1-8,96543.42247,0.827827871,0.900386155,0.072558284,0.863391378,0.015198886
76,TDA1-9,94755.58131,0.822303534,0.890081465,0.067777932,0.865136847,0.013865161
77,TDA1-10,93861.66073,0.829034626,0.902313948,0.073279321,0.862634266,0.016303268
78,TDA1-11,105482.6283,0.806650758,0.893491983,0.086841226,0.858578977,0.016644735
79,TDB1-1,372764.8812,0.703405201,0.909288466,0.205883265,0.865487148,0.019172643
80,TDB1-2,105482.6283,0.839211941,0.91152972,0.072317779,0.86979929,0.010697323
81,TDB1-3,103694.7871,0.846783221,0.890948772,0.044165552,0.867789903,0.0094562
82,TDB1-4,103694.7871,0.838895977,0.8933025,0.054406524,0.865086205,0.009614445
83,TDB1-5,78665.0109,0.84215194,0.910626471,0.068474531,0.87101218,0.013537924
84,TDB1-6,78665.0109,0.799132049,0.910065711,0.110933661,0.870906009,0.016800182
85,TDB1-7,81346.77264,0.847818196,0.901843905,0.05402571,0.876502254,0.012788159
86,TDB1-8,34862.90256,0.851523221,0.893728256,0.042205036,0.870602421,0.009784934
87,TDB1-9,57210.91702,0.84429282,0.901756346,0.057463527,0.870994666,0.010609509
