OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Square Kilometers),PERCENTAGE
1,TD5-1,Intact forest 2016,0.031374937,100
2,TD5-10,Intact forest 2016,0.031374937,100
3,TD5-11,Intact forest 2016,0.031374937,100
4,TD5-12,Intact forest 2016,0.031374937,100
5,TD5-13,Intact forest 2016,0.031374937,100
6,TD5-2,Intact forest 2016,0.031374937,100
7,TD5-3,Intact forest 2016,0.031374937,100
8,TD5-4,Intact forest 2016,0.031374937,100
9,TD5-5,Intact forest 2016,0.031374937,100
10,TD5-6,Intact forest 2016,0.031374937,100
11,TD5-7,Intact forest 2016,0.031374937,100
12,TD5-8,Intact forest 2016,0.031374937,100
13,TD5-9,Intact forest 2016,0.031374937,100
14,TD6-1,Intact forest 2016,0.031374937,100
15,TD6-10,Intact forest 2016,0.031374937,100
16,TD6-2,Intact forest 2016,0.031374937,100
17,TD6-3,Intact forest 2016,0.031374937,100
18,TD6-4,Intact forest 2016,0.031374937,100
19,TD6-5,Intact forest 2016,0.031374937,100
20,TD6-6,Intact forest 2016,0.031374937,100
21,TD6-7,Intact forest 2016,0.031374937,100
22,TD6-8,Intact forest 2016,0.031374937,100
23,TD6-9,Intact forest 2016,0.031374937,100
24,TDA1-1,Intact forest 2016,0.031374937,100
25,TDA1-10,Intact forest 2016,0.031374937,100
26,TDA1-11,Intact forest 2016,0.031374937,100
27,TDA1-2,Intact forest 2016,0.031374937,100
28,TDA1-3,Intact forest 2016,0.031374937,100
29,TDA1-4,Intact forest 2016,0.031374937,100
30,TDA1-5,Intact forest 2016,0.031374937,100
31,TDA1-6,Intact forest 2016,0.031374937,100
32,TDA1-7,Intact forest 2016,0.031374937,100
33,TDA1-8,Intact forest 2016,0.031374937,100
34,TDA1-9,Intact forest 2016,0.031374937,100
35,TDA2-1,Intact forest 2016,0.031374937,100
36,TDA2-10,Intact forest 2016,0.031374937,100
